(((1, 21.0), 'hit'), -0.5990935407280227)
(((6, 18.0), 'stick'), 0.4050270295245566)
(((10, 13.0), 'stick'), -0.2950550170951363)
(((9, 10), 'stick'), -0.20926119327561585)
(((4, 21.0), 'stick'), 0.9387274155538086)
(((3, 6), 'stick'), 0.20094071913652198)
(((7, 8), 'hit'), -0.15839386998583388)
(((3, 14.0), 'stick'), 0.1977164330105506)
(((5, 20.0), 'hit'), -0.5858423369217929)
(((7, 21.0), 'hit'), -0.6803475298618555)
(((3, 9), 'stick'), 0.20020705257103152)
(((10, 3), 'hit'), -0.4875079987422861)
(((10, 16.0), 'hit'), -0.42032081527373105)
(((2, 1), 'hit'), -0.19420312292607442)
(((6, 11.0), 'stick'), 0.06765875834635579)
(((8, 19.0), 'hit'), -0.5671468513958651)
(((9, 3), 'stick'), -0.20836604490644448)
(((10, 14.0), 'stick'), -0.29843702372318154)
(((6, 8.0), 'hit'), -0.1005737681789709)
(((9, 17.0), 'stick'), -0.050830024398412006)
(((3, 13.0), 'hit'), -0.035029267243051936)
(((7, 6.0), 'stick'), -0.025878385427201882)
(((7, 13.0), 'stick'), -0.017027664593609104)
(((9, 1), 'hit'), -0.4884112724057556)
(((1, 2), 'stick'), 0.3164553390736372)
(((8, 3), 'stick'), -0.11890408474364056)
(((3, 4), 'stick'), 0.20043922465245093)
(((5, 5), 'hit'), -0.15772455203477131)
(((3, 21.0), 'stick'), 0.9402478799739059)
(((8, 8.0), 'hit'), -0.22548611942238503)
(((1, 12.0), 'stick'), 0.31506055513704684)
(((4, 21.0), 'hit'), -0.6262182937941595)
(((6, 6), 'hit'), -0.156342197704346)
(((7, 4.0), 'stick'), -0.027298156785608426)
(((6, 21.0), 'stick'), 0.9259595435684661)
(((5, 6), 'hit'), -0.12931991387434244)
(((7, 3), 'stick'), -0.027382840460918257)
(((7, 21.0), 'stick'), 0.9337002752064041)
(((3, 19.0), 'hit'), -0.4743075307333335)
(((8, 15.0), 'hit'), -0.29926000333193203)
(((1, 20.0), 'hit'), -0.5216302788496097)
(((6, 1), 'hit'), -0.31104806718364786)
(((8, 16.0), 'stick'), -0.11561171107779834)
(((6, 16.0), 'stick'), 0.061697146111497986)
(((10, 20.0), 'hit'), -0.6599884794035047)
(((3, 2), 'hit'), -0.19358015429545827)
(((4, 12.0), 'stick'), 0.14589863386362473)
(((6, 17.0), 'stick'), 0.18543825684242485)
(((7, 5), 'hit'), -0.24945981074193252)
(((1, 1), 'stick'), 0.3163225797304047)
(((9, 1), 'stick'), -0.20939340546532478)
(((5, 17.0), 'hit'), -0.3407608572394271)
(((10, 6), 'stick'), -0.2967011067533249)
(((8, 3), 'hit'), -0.3669326095467405)
(((7, 17.0), 'hit'), -0.39435810136221083)
(((3, 4), 'hit'), -0.12351314995540409)
(((7, 2), 'stick'), -0.026983661259396562)
(((1, 8.0), 'hit'), 0.08925788621825533)
(((1, 17.0), 'stick'), 0.40284199842111323)
(((4, 16.0), 'hit'), -0.26848916504942555)
(((5, 9), 'stick'), 0.10750987314191102)
(((6, 6), 'stick'), 0.06935745025352498)
(((1, 17.0), 'hit'), -0.2759881371269389)
(((5, 10.0), 'hit'), 0.010023912134506992)
(((3, 11.0), 'stick'), 0.19327879882432136)
(((6, 13.0), 'stick'), 0.0676485111316248)
(((2, 17.0), 'stick'), 0.3436558167570826)
(((5, 14.0), 'hit'), -0.15576308495214036)
(((8, 13.0), 'hit'), -0.20649053655097632)
(((9, 13.0), 'hit'), -0.25013330357789515)
(((9, 19.0), 'hit'), -0.5699675689435103)
(((1, 9.0), 'stick'), 0.31675868965980253)
(((8, 9.0), 'hit'), -0.1862975792183015)
(((4, 14.0), 'hit'), -0.12063954138645676)
(((8, 12.0), 'hit'), -0.14532005726496072)
(((2, 11.0), 'hit'), 0.1465930777354724)
(((6, 17.0), 'hit'), -0.3666914837471864)
(((10, 21.0), 'stick'), 0.936370895298931)
(((9, 11.0), 'stick'), -0.21601581809194245)
(((1, 14.0), 'stick'), 0.31669175853528325)
(((4, 2), 'hit'), -0.2245640540994392)
(((6, 9), 'stick'), 0.06742889323399624)
(((10, 5), 'hit'), -0.4393950844293993)
(((3, 3), 'stick'), 0.19994893907956418)
(((1, 5), 'hit'), -0.012694240164034684)
(((8, 2), 'hit'), -0.3989225389594187)
(((9, 5), 'hit'), -0.3871674524663768)
(((3, 17.0), 'stick'), 0.3072268653329799)
(((3, 5), 'hit'), -0.09053691393373145)
(((7, 7.0), 'hit'), -0.19793864698017885)
(((6, 4), 'hit'), -0.21493748246031794)
(((2, 7), 'hit'), 0.01110067718030451)
(((4, 3), 'stick'), 0.15194340950398685)
(((8, 1), 'hit'), -0.4361667356777828)
(((8, 14.0), 'stick'), -0.11887257780387585)
(((2, 21.0), 'hit'), -0.622850934493008)
(((3, 7), 'hit'), -0.02565043249844508)
(((8, 4), 'hit'), -0.3474187314099853)
(((5, 11.0), 'hit'), 0.06013939022138563)
(((10, 19.0), 'hit'), -0.5926973632870821)
(((4, 20.0), 'hit'), -0.5869433133672128)
(((10, 2), 'stick'), -0.29657869012706933)
(((3, 9), 'hit'), 0.044293252705679347)
(((1, 13.0), 'hit'), 0.047501269026093994)
(((1, 16.0), 'hit'), -0.20203850847255148)
(((4, 7), 'stick'), 0.1525996542052803)
(((10, 14.0), 'hit'), -0.32986934910694937)
(((8, 5), 'stick'), -0.11869033714697395)
(((9, 17.0), 'hit'), -0.44006515273751207)
(((9, 12.0), 'hit'), -0.18713494291476857)
(((10, 5), 'stick'), -0.29715469744516304)
(((7, 12.0), 'hit'), -0.09015176221942628)
(((10, 18.0), 'stick'), 0.17370694338802775)
(((6, 2), 'hit'), -0.2770832796703159)
(((5, 21.0), 'hit'), -0.6441514423784364)
(((8, 2), 'stick'), -0.12002256246711811)
(((4, 18.0), 'hit'), -0.4019291725933018)
(((3, 5), 'stick'), 0.20017993798565248)
(((3, 16.0), 'stick'), 0.21031026252983315)
(((7, 7.0), 'stick'), -0.02625753823928768)
(((5, 7), 'hit'), -0.09761127807237352)
(((1, 18.0), 'hit'), -0.36251226641275214)
